"Name","MoRefID","Uuid","Path","vCenter","AddedBy"
"DC","vm-29552","4213ec5b-7891-5120-9964-0c8c53b8cdda","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\DC","ausvcenter.lab.fullstackgeek.net","VM"
"client","vm-29557","42134328-efa2-8ae7-3a4c-6e11a90a90d2","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\client","ausvcenter.lab.fullstackgeek.net","VM"
"member","vm-29563","4213e0b5-fa7b-2af0-42bd-877e6c99d8d1","ausvcenter.lab.fullstackgeek.net\Austin\AD2012R2\member","ausvcenter.lab.fullstackgeek.net","VM"
"ausdc01_old","vm-29548","4213503e-72a6-464c-a657-032251804089","ausvcenter.lab.fullstackgeek.net\Austin\Domain\ausdc01_old","ausvcenter.lab.fullstackgeek.net","Tag"
"ausveeamone","vm-29562","564d03be-6ffd-1e58-56b6-467ee38ad507","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeamone","ausvcenter.lab.fullstackgeek.net","VM"
"ausveeambem","vm-29567","4213e47b-4d66-4d6a-6fd7-4b9360a8ac3c","ausvcenter.lab.fullstackgeek.net\Austin\Veeam\ausveeambem","ausvcenter.lab.fullstackgeek.net","Tag"
"ausvcenter_old","vm-7371","564d1f52-a04d-d59a-7a48-866a2e92349b","ausvcenter.lab.fullstackgeek.net\Austin\VirtualEnvironment\ausvcenter_old","ausvcenter.lab.fullstackgeek.net","Tag"
"ausdev01","vm-28884","421370f8-2dd9-b2ba-2a44-b528bb2a5831","ausvcenter.lab.fullstackgeek.net\Austin\Management\ausdev01","ausvcenter.lab.fullstackgeek.net","Tag"
"ausjump01","vm-29560","564d7342-6628-abc6-40aa-8c616f268022","ausvcenter.lab.fullstackgeek.net\Austin\Management\ausjump01","ausvcenter.lab.fullstackgeek.net","VM"
"ausveeambr","vm-476","564db4b1-8124-7268-fe1b-8121f64925eb","ausvcenter.fsglab.local\Austin\Veeam\ausveeambr","ausvcenter.fsglab.local","VM"
"ausveeamone","vm-452","564d4068-d099-ff57-fed1-4206ecc1b0d3","ausvcenter.fsglab.local\Austin\Veeam\ausveeamone","ausvcenter.fsglab.local","VM"
"ausveeambem","vm-467","564d1da4-4482-8f34-f616-2f5d6392dc01","ausvcenter.fsglab.local\Austin\Veeam\ausveeambem","ausvcenter.fsglab.local","VM"
"ausdev01","vm-449","564da83a-a1b2-7823-558d-5d2e9bbc867d","ausvcenter.fsglab.local\Austin\Management\ausdev01","ausvcenter.fsglab.local","VM"
"ausjump01","vm-451","564d7342-6628-abc6-40aa-8c616f268022","ausvcenter.fsglab.local\Austin\Management\ausjump01","ausvcenter.fsglab.local","VM"
"member","vm-461","4213e0b5-fa7b-2af0-42bd-877e6c99d8d1","ausvcenter.fsglab.local\Austin\AD2012R2\member","ausvcenter.fsglab.local","VM"
"DC","vm-470","4213ec5b-7891-5120-9964-0c8c53b8cdda","ausvcenter.fsglab.local\Austin\AD2012R2\DC","ausvcenter.fsglab.local","VM"
"client","vm-460","42134328-efa2-8ae7-3a4c-6e11a90a90d2","ausvcenter.fsglab.local\Austin\AD2012R2\client","ausvcenter.fsglab.local","VM"
"ausdc01","vm-41","564d4525-086d-3d1a-c6db-ae8a4306875d","ausvcenter.fsglab.local\Austin\Domain\ausdc01","ausvcenter.fsglab.local","VM"
"ausdc02","vm-475","564d0ddd-ecf0-e3b8-e868-d4729452e066","ausvcenter.fsglab.local\Austin\Domain\ausdc02","ausvcenter.fsglab.local","VM"
"aussql2k14","vm-466","564d6da7-4dde-87cb-d26a-1f7c3ad3f8e6","ausvcenter.fsglab.local\Austin\Database\aussql2k14","ausvcenter.fsglab.local","VM"
"ausvcenter","vm-48","564df5a1-273a-2887-3d76-728d1a11cd44","ausvcenter.fsglab.local\Austin\VirtualEnvironment\ausvcenter","ausvcenter.fsglab.local","VM"
